验证日期,股票代码,股票名称,固定持仓,置顶原因,行情刷新状态,数据状态,分时结构标签,尾盘抢筹标签,隔夜建议等级,候选评分,尾盘评分,最终评分,买入参考价,计划低吸下限,计划低吸上限,计划验证买入价,计划止损价,次日日期,次日开盘,次日最高,次日最低,次日收盘,次日开盘涨幅,次日最高涨幅,次日最低涨幅,次日收盘涨幅,是否达到1%,是否达到2%,是否触发-2%止损,是否触达低吸区间,触达后是否达到1%,触达后是否达到2%,触达后是否触发-2%止损,执行验证结果,分时确认状态,分时首事件,分时首事件时间,时序判断,是否验证成功
2026-07-27,600362,江西铜业,否,,日线已刷新,ready,急跌修复失败型,尾盘普通,D,95.0,0.0,38.0,42.94,42.08,42.51,42.51,41.66,2026-07-24,42.73,43.94,42.37,42.5,-0.49,2.33,-1.33,-1.02,是,是,否,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 09:31,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:31 为止盈。,是
2026-07-27,002738,中矿资源,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,48.25,47.28,47.77,47.77,46.81,2026-07-24,50.0,50.53,48.25,48.36,3.63,4.73,0.0,0.23,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-27,600893,航发动力,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,34.65,33.96,34.3,34.3,33.62,2026-07-24,35.23,35.82,34.56,34.6,1.67,3.38,-0.26,-0.14,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-27,002460,赣锋锂业,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,49.57,48.58,49.07,49.07,48.09,2026-07-24,50.0,51.1,49.0,49.03,0.87,3.09,-1.15,-1.09,是,是,否,是,否,否,否,给买点但失败,分时已确认,no_event,,先触达买点 2026-07-24 14:41，之后未触发目标或止损。,否
2026-07-27,688548,广钢气体,否,,日线已刷新,ready,强势横盘型,尾盘普通,C,100.0,30.0,58.0,38.31,37.54,37.93,37.93,37.17,2026-07-24,35.8,39.29,35.43,38.45,-6.55,2.56,-7.52,0.37,是,是,是,是,是,是,是,风险触发,分时已确认,stop_loss,2026-07-24 09:37,先触达买点 2026-07-24 09:37，首事件 2026-07-24 09:37 为止损。,否
2026-07-27,000811,冰轮环境,否,,日线已刷新,ready,高波动震荡型,尾盘普通,C,100.0,25.0,55.0,41.33,40.5,40.92,40.92,40.1,2026-07-24,40.63,43.55,40.03,43.25,-1.69,5.37,-3.15,4.65,是,是,是,是,是,是,是,需分时确认,需分时确认,ambiguous_same_minute,2026-07-24 09:31,2026-07-24 09:31 同一分钟同时覆盖止盈/止损价格，需更细分时或成交记录确认。,否
2026-07-27,300001,特锐德,否,,日线已刷新,ready,普通震荡型,尾盘普通,C,100.0,25.0,55.0,35.57,34.86,35.21,35.21,34.51,2026-07-24,37.63,37.63,35.53,35.84,5.79,5.79,-0.11,0.76,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-27,603005,晶方科技,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,C,100.0,35.0,61.0,30.44,29.83,30.14,30.14,29.53,2026-07-24,30.42,31.58,30.01,30.76,-0.07,3.75,-1.41,1.05,是,是,否,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 09:31,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:31 为止盈。,是
2026-07-27,688249,晶合集成,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,C,100.0,35.0,61.0,45.37,44.46,44.92,44.92,44.02,2026-07-24,44.66,47.46,44.12,46.79,-1.56,4.61,-2.76,3.13,是,是,是,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 09:35,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:35 为止盈。,是
2026-07-27,300433,蓝思科技,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,C,100.0,35.0,61.0,36.3,35.57,35.94,35.94,35.22,2026-07-24,36.34,39.0,35.9,37.32,0.11,7.44,-1.1,2.81,是,是,否,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 09:31,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:31 为止盈。,是
2026-07-27,002138,顺络电子,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,B,100.0,45.0,67.0,43.01,42.15,42.58,42.58,41.73,2026-07-24,42.36,43.19,41.4,42.11,-1.51,0.42,-3.74,-2.09,否,否,是,是,是,否,是,风险触发,分时已确认,stop_loss,2026-07-24 09:31,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:31 为止损。,否
2026-07-27,002487,大金重工,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,B,100.0,45.0,67.0,38.26,37.49,37.88,37.88,37.12,2026-07-24,39.98,41.14,38.15,38.19,4.5,7.53,-0.29,-0.18,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-27,002536,飞龙股份,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,B,100.0,45.0,67.0,48.1,47.14,47.62,47.62,46.67,2026-07-24,49.5,52.0,47.5,48.19,2.91,8.11,-1.25,0.19,是,是,否,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 10:35,先触达买点 2026-07-24 10:33，首事件 2026-07-24 10:35 为止盈。,是
2026-07-27,601208,东材科技,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,B,100.0,55.0,73.0,42.2,41.36,41.78,41.78,40.94,2026-07-24,41.48,43.17,40.3,41.72,-1.71,2.3,-4.5,-1.14,是,是,是,是,是,是,是,风险触发,分时已确认,stop_loss,2026-07-24 09:31,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:31 为止损。,否
2026-07-27,300139,晓程科技,否,,日线已刷新,ready,急跌修复失败型,尾盘普通,D,90.0,0.0,36.0,38.98,38.2,38.59,38.59,37.82,2026-07-24,37.75,39.4,37.3,37.84,-3.16,1.08,-4.31,-2.92,是,否,是,是,是,是,是,风险触发,分时已确认,stop_loss,2026-07-24 09:31,先触达买点 2026-07-24 09:31，首事件 2026-07-24 09:31 为止损。,否
